"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2025","84,095.31","84,543.85","85,223.48","83,493.44","","-0.53%"
"05/05/2025","84,543.85","84,737.19","84,954.21","84,302.66","132.17M","-0.23%"
"05/02/2025","84,737.19","84,225.99","85,160.88","83,802.52","87.02M","0.61%"
"04/30/2025","84,225.99","83,976.98","84,551.61","83,758.76","146.97M","0.30%"
"04/29/2025","83,976.98","83,413.69","84,095.97","83,144.65","108.97M","0.68%"
"04/25/2025","83,413.69","83,257.44","83,886.04","83,257.44","125.51M","0.19%"
"04/24/2025","83,257.44","82,614.16","83,373.57","82,084.03","137.80M","0.78%"
"04/23/2025","82,614.16","82,722.25","83,709.11","82,381.11","210.03M","-0.13%"
"04/22/2025","82,722.25","82,262.12","83,727.33","82,256.55","154.60M","0.56%"
"04/17/2025","82,262.12","82,533.87","82,782.71","82,008.87","146.58M","-0.33%"
"04/16/2025","82,533.87","82,324.56","83,399.44","81,970.02","136.25M","0.25%"
"04/15/2025","82,324.56","81,549.69","82,440.82","81,057.16","161.84M","0.95%"
"04/14/2025","81,549.69","79,448.02","81,574.61","79,448.02","168.39M","2.65%"
"04/11/2025","79,448.02","79,091.69","80,033.93","78,708.85","180.03M","0.45%"
"04/10/2025","79,091.69","75,690.62","79,715.51","75,690.62","232.72M","4.49%"
"04/09/2025","75,690.62","77,245.68","77,245.68","75,054.53","282.39M","-2.01%"
"04/08/2025","77,245.68","75,481.92","77,763.47","74,526.18","329.49M","2.34%"
"04/07/2025","75,481.92","74,876.28","76,978.10","70,516.01","320.57M","0.81%"
"04/04/2025","74,876.28","79,111.09","79,125.66","74,131.09","268.22M","-5.35%"
"04/03/2025","79,111.09","81,814.91","81,814.91","78,026.66","","-3.30%"